Date,Time,VALUE01,VALUE02,VALUE03,VALUE04,VALUE05,VALUE06,VALUE07,VALUE08,VALUE09,VALUE10
1997-01-02,0:00:00,OFF,0,1.1,10.1,10,100.1,0.0001,0.00004,10,20
1997-01-02,0:00:05,OFF,0,1.1,10.1,10,100.1,0.0001,0.00004,10,20
1997-01-02,0:00:10,OFF,0,1.1,10.1,10,100.1,0.0001,0.00004,10,20
1997-01-02,0:00:15,OFF,0,1.1,10.1,10,100.1,0.0001,0.00004,10,20
1997-01-02,0:00:20,OFF,0,1.1,10.1,10,100.1,0.0001,0.00004,10,20
1997-01-02,0:00:25,OFF,0,1.1,10.1,10,100.1,0.0001,0.00004,10,20
1997-01-02,0:00:30,OFF,0,1.1,10.1,10,100.1,0.0001,0.00004,10,20
1997-01-02,0:00:35,OFF,0,1.1,10.1,10,100.1,0.0001,0.00004,10,20
1997-01-02,0:00:40,OFF,0,1.1,10.1,10,100.1,0.0001,0.00004,10,20
1997-01-02,0:00:45,OFF,0,1.1,10.1,10,100.1,0.0001,0.00004,10,20
1997-01-02,0:00:50,OFF,0,1.1,10.1,10,100.1,0.0001,0.00004,10,20
1997-01-02,0:00:55,OFF,0,1.1,10.1,10,100.1,0.0001,0.00004,10,20
1997-01-02,0:01:00,OFF,0,1.1,10.1,10,100.1,0.0001,0.00004,10,20
1997-01-02,0:01:05,OFF,0,1.1,10.1,10,100.1,0.0001,0.00004,10,20
1997-01-02,0:01:10,OFF,0,1.1,10.1,10,100.1,0.0001,0.00004,10,20
1997-01-02,0:01:15,OFF,0,1.1,10.1,10,100.1,0.0001,0.00004,10,20
1997-01-02,0:01:20,OFF,0,1.1,10.1,10,100.1,0.0001,0.00004,10,20
1997-01-02,0:01:25,OFF,0,1.1,10.1,10,100.1,0.0001,0.00004,10,20
1997-01-02,0:01:30,OFF,0,1.1,10.1,10,100.1,0.0001,0.00004,10,20
1997-01-02,0:01:35,OFF,0,1.1,10.1,10,100.1,0.0001,0.00004,10,20
1997-01-02,0:01:40,OFF,0,1.1,10.1,10,100.1,0.0001,0.00004,10,20
1997-01-02,0:01:45,OFF,0,1.1,10.1,10,100.1,0.0001,0.00004,10,20
1997-01-02,0:01:50,OFF,0,1.1,10.1,10,100.1,0.0001,0.00004,10,20
1997-01-02,0:01:55,OFF,0,1.1,10.1,10,100.1,0.0001,0.00004,10,20
1997-01-02,0:02:00,OFF,0,1.1,10.1,10,100.1,0.0001,0.00004,10,20
1997-01-02,0:02:05,OFF,0,1.1,10.1,10,100.1,0.0001,0.00004,10,20
1997-01-02,0:02:10,OFF,0,1.1,10.1,10,100.1,0.0001,0.00004,10,20
1997-01-02,0:02:15,OFF,0,1.1,10.1,10,100.1,0.0001,0.00004,10,20
1997-01-02,0:02:20,OFF,0,1.1,10.1,10,100.1,0.0001,0.00004,10,20
1997-01-02,0:02:25,OFF,0,1.1,10.1,10,100.1,0.0001,0.00004,10,20
1997-01-02,0:02:30,OFF,0,1.1,10.1,10,100.1,0.0001,0.00004,10,20
1997-01-02,0:02:35,OFF,0,1.1,10.1,10,100.1,0.0001,0.00004,10,20
1997-01-02,0:02:40,OFF,0,1.1,10.1,10,100.1,0.0001,0.00004,10,20
1997-01-02,0:02:45,OFF,0,1.1,10.1,10,100.1,0.0001,0.00004,10,20
1997-01-02,0:02:50,OFF,0,1.1,10.1,10,100.1,0.0001,0.00004,10,20
1997-01-02,0:02:55,OFF,0,1.1,10.1,10,100.1,0.0001,0.00004,10,20
1997-01-02,0:03:00,OFF,0,1.1,10.1,10,100.1,0.0001,0.00004,10,20
1997-01-02,0:03:05,OFF,0,1.1,10.1,10,100.1,0.0001,0.00004,10,20
1997-01-02,0:03:10,OFF,0,1.1,10.1,10,100.1,0.0001,0.00004,10,20
1997-01-02,0:03:15,OFF,0,1.1,10.1,10,100.1,0.0001,0.00004,10,20
1997-01-02,0:03:20,OFF,0,1.1,10.1,10,100.1,0.0001,0.00004,10,20
1997-01-02,0:03:25,OFF,0,1.1,10.1,10,100.1,0.0001,0.00004,10,20
1997-01-02,0:03:30,OFF,0,1.1,10.1,10,100.1,0.0001,0.00004,10,20
1997-01-02,0:03:35,OFF,0,1.1,10.1,10,100.1,0.0001,0.00004,10,20
1997-01-02,0:03:40,OFF,0,1.1,10.1,10,100.1,0.0001,0.00004,10,20
1997-01-02,0:03:45,OFF,0,1.1,10.1,10,100.1,0.0001,0.00004,10,20
1997-01-02,0:03:50,OFF,0,1.1,10.1,10,100.1,0.0001,0.00004,10,20
1997-01-02,0:03:55,OFF,0,1.1,10.1,10,100.1,0.0001,0.00004,10,20
1997-01-02,0:04:00,OFF,0,1.1,10.1,10,100.1,0.0001,0.00004,10,20
1997-01-02,0:04:05,OFF,0,1.1,10.1,10,100.1,0.0001,0.00004,10,20
1997-01-02,0:04:10,OFF,0,1.1,10.1,10,100.1,0.0001,0.00004,10,20
1997-01-02,0:04:15,OFF,0,1.1,10.1,10,100.1,0.0001,0.00004,10,20
1997-01-02,0:04:20,OFF,0,1.1,10.1,10,100.1,0.0001,0.00004,10,20
1997-01-02,0:04:25,OFF,0,1.1,10.1,10,100.1,0.0001,0.00004,10,20
1997-01-02,0:04:30,OFF,0,1.1,10.1,10,100.1,0.0001,0.00004,10,20
1997-01-02,0:04:35,OFF,0,1.1,10.1,10,100.1,0.0001,0.00004,10,20
1997-01-02,0:04:40,OFF,0,1.1,10.1,10,100.1,0.0001,0.00004,10,20
1997-01-02,0:04:45,OFF,0,1.1,10.1,10,100.1,0.0001,0.00004,10,20
1997-01-02,0:04:50,OFF,0,1.1,10.1,10,100.1,0.0001,0.00004,10,20
1997-01-02,0:04:55,OFF,0,1.1,10.1,10,100.1,0.0001,0.00004,10,20
1997-01-02,0:05:00,OFF,0,1.1,10.1,10,100.1,0.0001,0.00004,10,20
1997-01-02,0:05:05,OFF,0,1.1,10.1,10,100.1,0.0001,0.00004,10,20
1997-01-02,0:05:10,OFF,0,1.1,10.1,10,100.1,0.0001,0.00004,10,20
1997-01-02,0:05:15,OFF,0,1.1,10.1,10,100.1,0.0001,0.00004,10,20
1997-01-02,0:05:20,OFF,0,1.1,10.1,10,100.1,0.0001,0.00004,10,20
1997-01-02,0:05:25,OFF,0,1.1,10.1,10,100.1,0.0001,0.00004,10,20
1997-01-02,0:05:30,OFF,0,1.1,10.1,10,100.1,0.0001,0.00004,10,20
1997-01-02,0:05:35,OFF,0,1.1,10.1,10,100.1,0.0001,0.00004,10,20
1997-01-02,0:05:40,OFF,0,1.1,10.1,10,100.1,0.0001,0.00004,10,20
1997-01-02,0:05:45,OFF,0,1.1,10.1,10,100.1,0.0001,0.00004,10,20
1997-01-02,0:05:50,OFF,0,1.1,10.1,10,100.1,0.0001,0.00004,10,20
1997-01-02,0:05:55,OFF,0,1.1,10.1,10,100.1,0.0001,0.00004,10,20
1997-01-02,0:06:00,OFF,0,1.1,10.1,10,100.1,0.0001,0.00004,10,20
1997-01-02,0:06:05,OFF,0,1.1,10.1,10,100.1,0.0001,0.00004,10,20
1997-01-02,0:06:10,OFF,0,1.1,10.1,10,100.1,0.0001,0.00004,10,20
1997-01-02,0:06:15,OFF,0,1.1,10.1,10,100.1,0.0001,0.00004,10,20
1997-01-02,0:06:20,OFF,0,1.1,10.1,10,100.1,0.0001,0.00004,10,20
1997-01-02,0:06:25,OFF,0,1.1,10.1,10,100.1,0.0001,0.00004,10,20
1997-01-02,0:06:30,OFF,0,1.1,10.1,10,100.1,0.0001,0.00004,10,20
1997-01-02,0:06:35,OFF,0,1.1,10.1,10,100.1,0.0001,0.00004,10,20
1997-01-02,0:06:40,OFF,0,1.1,10.1,10,100.1,0.0001,0.00004,10,20
1997-01-02,0:06:45,OFF,0,1.1,10.1,10,100.1,0.0001,0.00004,10,20
1997-01-02,0:06:50,OFF,0,1.1,10.1,10,100.1,0.0001,0.00004,10,20
1997-01-02,0:06:55,OFF,0,1.1,10.1,10,100.1,0.0001,0.00004,10,20
1997-01-02,0:07:00,OFF,0,1.1,10.1,10,100.1,0.0001,0.00004,10,20
1997-01-02,0:07:05,OFF,0,1.1,10.1,10,100.1,0.0001,0.00004,10,20
1997-01-02,0:07:10,OFF,0,1.1,10.1,10,100.1,0.0001,0.00004,10,20
1997-01-02,0:07:15,OFF,0,1.1,10.1,10,100.1,0.0001,0.00004,10,20
1997-01-02,0:07:20,OFF,0,1.1,10.1,10,100.1,0.0001,0.00004,10,20
1997-01-02,0:07:25,OFF,0,1.1,10.1,10,100.1,0.0001,0.00004,10,20
1997-01-02,0:07:30,OFF,0,1.1,10.1,10,100.1,0.0001,0.00004,10,20
1997-01-02,0:07:35,OFF,0,1.1,10.1,10,100.1,0.0001,0.00004,10,20
1997-01-02,0:07:40,OFF,0,1.1,10.1,10,100.1,0.0001,0.00004,10,20
1997-01-02,0:07:45,OFF,0,1.1,10.1,10,100.1,0.0001,0.00004,10,20
1997-01-02,0:07:50,OFF,0,1.1,10.1,10,100.1,0.0001,0.00004,10,20
1997-01-02,0:07:55,OFF,0,1.1,10.1,10,100.1,0.0001,0.00004,10,20
1997-01-02,0:08:00,OFF,0,1.1,10.1,10,100.1,0.0001,0.00004,10,20
1997-01-02,0:08:05,OFF,0,1.1,10.1,10,100.1,0.0001,0.00004,10,20
1997-01-02,0:08:10,OFF,0,1.1,10.1,10,100.1,0.0001,0.00004,10,20
1997-01-02,0:08:15,OFF,0,1.1,10.1,10,100.1,0.0001,0.00004,10,20
1997-01-02,0:08:20,OFF,0,1.1,10.1,10,100.1,0.0001,0.00004,10,20
1997-01-02,0:08:25,OFF,0,1.1,10.1,10,100.1,0.0001,0.00004,10,20
1997-01-02,0:08:30,OFF,0,1.1,10.1,10,100.1,0.0001,0.00004,10,20
1997-01-02,0:08:35,OFF,0,1.1,10.1,10,100.1,0.0001,0.00004,10,20
1997-01-02,0:08:40,OFF,0,1.1,10.1,10,100.1,0.0001,0.00004,10,20
1997-01-02,0:08:45,OFF,0,1.1,10.1,10,100.1,0.0001,0.00004,10,20
1997-01-02,0:08:50,OFF,0,1.1,10.1,10,100.1,0.0001,0.00004,10,20
1997-01-02,0:08:55,OFF,0,1.1,10.1,10,100.1,0.0001,0.00004,10,20
1997-01-02,0:09:00,OFF,0,1.1,10.1,10,100.1,0.0001,0.00004,10,20
1997-01-02,0:09:05,OFF,0,1.1,10.1,10,100.1,0.0001,0.00004,10,20
1997-01-02,0:09:10,OFF,0,1.1,10.1,10,100.1,0.0001,0.00004,10,20
1997-01-02,0:09:15,OFF,0,1.1,10.1,10,100.1,0.0001,0.00004,10,20
1997-01-02,0:09:20,OFF,0,1.1,10.1,10,100.1,0.0001,0.00004,10,20
1997-01-02,0:09:25,OFF,0,1.1,10.1,10,100.1,0.0001,0.00004,10,20
1997-01-02,0:09:30,OFF,0,1.1,10.1,10,100.1,0.0001,0.00004,10,20
1997-01-02,0:09:35,OFF,0,1.1,10.1,10,100.1,0.0001,0.00004,10,20
1997-01-02,0:09:40,OFF,0,1.1,10.1,10,100.1,0.0001,0.00004,10,20
1997-01-02,0:09:45,OFF,0,1.1,10.1,10,100.1,0.0001,0.00004,10,20
1997-01-02,0:09:50,OFF,0,1.1,10.1,10,100.1,0.0001,0.00004,10,20
1997-01-02,0:09:55,OFF,0,1.1,10.1,10,100.1,0.0001,0.00004,10,20
1997-01-02,0:10:00,OFF,0,1.1,10.1,10,100.1,0.0001,0.00004,10,20
1997-01-02,0:10:05,OFF,0,1.1,10.1,10,100.1,0.0001,0.00004,10,20
1997-01-02,0:10:10,OFF,0,1.1,10.1,10,100.1,0.0001,0.00004,10,20
1997-01-02,0:10:15,OFF,0,1.1,10.1,10,100.1,0.0001,0.00004,10,20
1997-01-02,0:10:20,OFF,0,1.1,10.1,10,100.1,0.0001,0.00004,10,20
1997-01-02,0:10:25,OFF,0,1.1,10.1,10,100.1,0.0001,0.00004,10,20
1997-01-02,0:10:30,OFF,0,1.1,10.1,10,100.1,0.0001,0.00004,10,20
1997-01-02,0:10:35,OFF,0,1.1,10.1,10,100.1,0.0001,0.00004,10,20
1997-01-02,0:10:40,OFF,0,1.1,10.1,10,100.1,0.0001,0.00004,10,20
1997-01-02,0:10:45,OFF,0,1.1,10.1,10,100.1,0.0001,0.00004,10,20
1997-01-02,0:10:50,OFF,0,1.1,10.1,10,100.1,0.0001,0.00004,10,20
1997-01-02,0:10:55,OFF,0,1.1,10.1,10,100.1,0.0001,0.00004,10,20
1997-01-02,0:11:00,OFF,0,1.1,10.1,10,100.1,0.0001,0.00004,10,20
1997-01-02,0:11:05,OFF,0,1.1,10.1,10,100.1,0.0001,0.00004,10,20
1997-01-02,0:11:10,OFF,0,1.1,10.1,10,100.1,0.0001,0.00004,10,20
1997-01-02,0:11:15,OFF,0,1.1,10.1,10,100.1,0.0001,0.00004,10,20
1997-01-02,0:11:20,OFF,0,1.1,10.1,10,100.1,0.0001,0.00004,10,20
1997-01-02,0:11:25,OFF,0,1.1,10.1,10,100.1,0.0001,0.00004,10,20
1997-01-02,0:11:30,OFF,0,1.1,10.1,10,100.1,0.0001,0.00004,10,20
1997-01-02,0:11:35,OFF,0,1.1,10.1,10,100.1,0.0001,0.00004,10,20
1997-01-02,0:11:40,OFF,0,1.1,10.1,10,100.1,0.0001,0.00004,10,20
1997-01-02,0:11:45,OFF,0,1.1,10.1,10,100.1,0.0001,0.00004,10,20
1997-01-02,0:11:50,OFF,0,1.1,10.1,10,100.1,0.0001,0.00004,10,20
1997-01-02,0:11:55,OFF,0,1.1,10.1,10,100.1,0.0001,0.00004,10,20
1997-01-02,0:12:00,OFF,0,1.1,10.1,10,100.1,0.0001,0.00004,10,20
1997-01-02,0:12:05,OFF,0,1.1,10.1,10,100.1,0.0001,0.00004,10,20
1997-01-02,0:12:10,OFF,0,1.1,10.1,10,100.1,0.0001,0.00004,10,20
1997-01-02,0:12:15,OFF,0,1.1,10.1,10,100.1,0.0001,0.00004,10,20
1997-01-02,0:12:20,OFF,0,1.1,10.1,10,100.1,0.0001,0.00004,10,20
1997-01-02,0:12:25,OFF,0,1.1,10.1,10,100.1,0.0001,0.00004,10,20
1997-01-02,0:12:30,OFF,0,1.1,10.1,10,100.1,0.0001,0.00004,10,20
1997-01-02,0:12:35,OFF,0,1.1,10.1,10,100.1,0.0001,0.00004,10,20
1997-01-02,0:12:40,OFF,0,1.1,10.1,10,100.1,0.0001,0.00004,10,20
